sale_price,image_name
281.0,farfetch_shoe5389.jpg
1022.0,farfetch_shoe10763.jpg
492.0,farfetch_shoe1202.jpg
186.0,farfetch_shoe6287.jpg
490.0,farfetch_shoe11772.jpg
467.0,farfetch_shoe4144.jpg
299.0,farfetch_shoe10676.jpg
556.0,farfetch_shoe10163.jpg
383.0,farfetch_shoe4366.jpg
558.0,farfetch_shoe6035.jpg
915.0,farfetch_shoe5082.jpg
147.0,farfetch_shoe8905.jpg
74.0,farfetch_shoe8085.jpg
623.0,farfetch_shoe10948.jpg
186.0,farfetch_shoe8076.jpg
402.0,farfetch_shoe10727.jpg
1390.0,farfetch_shoe8767.jpg
507.0,farfetch_shoe10652.jpg
576.0,farfetch_shoe9671.jpg
237.0,farfetch_shoe9764.jpg
330.0,farfetch_shoe6734.jpg
321.0,farfetch_shoe11741.jpg
747.0,farfetch_shoe295.jpg
722.0,farfetch_shoe4122.jpg
462.0,farfetch_shoe7349.jpg
462.0,farfetch_shoe9397.jpg
501.0,farfetch_shoe8449.jpg
942.0,farfetch_shoe8899.jpg
618.0,stockx_shoe269.jpg
856.0,farfetch_shoe3130.jpg
114.0,stockx_shoe29.jpg
107.0,farfetch_shoe2655.jpg
836.0,farfetch_shoe2320.jpg
739.0,farfetch_shoe5116.jpg
1223.0,farfetch_shoe5825.jpg
4864.0,farfetch_shoe10344.jpg
668.0,farfetch_shoe2481.jpg
357.0,farfetch_shoe6820.jpg
956.0,farfetch_shoe9324.jpg
500.0,farfetch_shoe9552.jpg
813.0,farfetch_shoe8072.jpg
231.0,farfetch_shoe560.jpg
239.0,farfetch_shoe9189.jpg
278.0,farfetch_shoe2433.jpg
551.0,farfetch_shoe11832.jpg
136.0,farfetch_shoe10953.jpg
696.0,farfetch_shoe9734.jpg
366.0,farfetch_shoe550.jpg
342.0,farfetch_shoe10351.jpg
581.0,farfetch_shoe7588.jpg
630.0,farfetch_shoe3270.jpg
551.0,farfetch_shoe11206.jpg
1235.0,farfetch_shoe2008.jpg
356.0,stockx_shoe133.jpg
168.0,farfetch_shoe3525.jpg
1041.0,farfetch_shoe24.jpg
606.0,farfetch_shoe6313.jpg
299.0,farfetch_shoe5886.jpg
388.0,farfetch_shoe1632.jpg
803.0,farfetch_shoe2091.jpg
747.0,farfetch_shoe11471.jpg
747.0,farfetch_shoe11517.jpg
344.0,farfetch_shoe5669.jpg
813.0,farfetch_shoe1606.jpg
334.0,farfetch_shoe2346.jpg
90.0,stockx_shoe713.jpg
532.0,farfetch_shoe5244.jpg
158.0,stockx_shoe923.jpg
926.0,farfetch_shoe11147.jpg
231.0,farfetch_shoe9521.jpg
351.0,farfetch_shoe9095.jpg
877.0,farfetch_shoe11946.jpg
442.0,stockx_shoe273.jpg
273.0,farfetch_shoe11684.jpg
196.0,farfetch_shoe1191.jpg
589.0,farfetch_shoe9616.jpg
103.0,farfetch_shoe8244.jpg
656.0,farfetch_shoe8589.jpg
558.0,farfetch_shoe6237.jpg
139.0,stockx_shoe420.jpg
193.0,farfetch_shoe9102.jpg
748.0,farfetch_shoe9427.jpg
155.0,farfetch_shoe854.jpg
163.0,farfetch_shoe10538.jpg
118.0,farfetch_shoe3206.jpg
1197.0,farfetch_shoe6304.jpg
868.0,farfetch_shoe11562.jpg
196.0,farfetch_shoe5647.jpg
302.0,farfetch_shoe6793.jpg
387.0,farfetch_shoe7333.jpg
1662.0,farfetch_shoe2034.jpg
340.0,stockx_shoe189.jpg
715.0,farfetch_shoe10043.jpg
142.0,farfetch_shoe4390.jpg
195.0,stockx_shoe521.jpg
501.0,farfetch_shoe8607.jpg
142.0,farfetch_shoe6642.jpg
88.0,farfetch_shoe7144.jpg
669.0,farfetch_shoe299.jpg
104.0,farfetch_shoe11017.jpg
441.0,farfetch_shoe7979.jpg
763.0,farfetch_shoe3748.jpg
308.0,farfetch_shoe4455.jpg
778.0,farfetch_shoe9002.jpg
680.0,farfetch_shoe3078.jpg
543.0,farfetch_shoe6074.jpg
421.0,farfetch_shoe1878.jpg
231.0,farfetch_shoe10724.jpg
450.0,farfetch_shoe1702.jpg
752.0,farfetch_shoe9049.jpg
550.0,stockx_shoe356.jpg
345.0,farfetch_shoe6786.jpg
770.0,farfetch_shoe9029.jpg
1003.0,farfetch_shoe1120.jpg
793.0,farfetch_shoe5308.jpg
682.0,farfetch_shoe2530.jpg
524.0,farfetch_shoe5581.jpg
939.0,farfetch_shoe4171.jpg
1235.0,farfetch_shoe7003.jpg
538.0,farfetch_shoe5360.jpg
284.0,farfetch_shoe7850.jpg
486.0,farfetch_shoe7913.jpg
836.0,farfetch_shoe12032.jpg
429.0,farfetch_shoe11955.jpg
254.0,farfetch_shoe9752.jpg
506.0,farfetch_shoe1867.jpg
231.0,farfetch_shoe3207.jpg
1151.0,farfetch_shoe8143.jpg
123.0,stockx_shoe944.jpg
519.0,farfetch_shoe1318.jpg
88.0,farfetch_shoe2908.jpg
684.0,farfetch_shoe11908.jpg
128.0,stockx_shoe872.jpg
140.0,farfetch_shoe9803.jpg
1085.0,farfetch_shoe8409.jpg
402.0,farfetch_shoe10135.jpg
229.0,farfetch_shoe1969.jpg
133.0,farfetch_shoe2586.jpg
575.0,farfetch_shoe8980.jpg
1204.0,farfetch_shoe1964.jpg
139.0,stockx_shoe904.jpg
231.0,farfetch_shoe3817.jpg
638.0,farfetch_shoe5311.jpg
1025.0,farfetch_shoe7748.jpg
770.0,farfetch_shoe8210.jpg
1339.0,farfetch_shoe2386.jpg
134.0,farfetch_shoe4310.jpg
577.0,farfetch_shoe2030.jpg
231.0,farfetch_shoe9349.jpg
908.0,farfetch_shoe11609.jpg
125.0,farfetch_shoe3653.jpg
